"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Luka Doncic","DAL","PG,SG OUT","32.4","8.6","8.0","0.5","1.4",".496",".742","2.8","3.6","66","36.2","7.8","8.1","2.24","2.5"
"Shai Gilgeous-Alexander","OKC","PG,SG","31.4","4.8","5.5","1.0","1.6",".510",".905","0.9","2.8","68","35.5","9.8","9.5","1.93","2.8"
"Stephen Curry","GSW","PG,SG","29.4","6.1","6.3","0.4","0.9",".493",".915","4.9","3.2","56","34.7","4.6","5.1","1.97","2.1"
"LeBron James","LAL","PG,SG,SF,PF DTD","28.9","8.3","6.8","0.6","0.9",".500",".768","2.2","3.2","55","35.5","4.6","8.9","2.11","1.6"
"Donovan Mitchell","CLE","PG,SG","28.3","4.3","4.4","0.4","1.5",".484",".867","3.6","2.6","68","35.8","4.7","6.4","1.67","2.5"
"Devin Booker","PHO","SG,SF,PG","27.8","4.5","5.5","0.3","1.0",".494",".855","2.1","2.7","53","34.6","5.8","7.8","2.02","3.0"
"Kyrie Irving","DAL","PG,SG OUT","27.1","5.1","5.5","0.8","1.1",".494",".905","3.1","2.1","60","37.3","4.1","6.8","2.59","2.8"
"Jaylen Brown","BOS","SG,SF","26.6","6.9","3.5","0.4","1.1",".491",".765","2.4","2.9","67","35.9","3.9","7.7","1.18","2.6"
"Zach LaVine","CHI","SG,SF","24.8","4.5","4.2","0.2","0.9",".485",".848","2.6","2.5","77","36.0","4.7","6.1","1.68","2.1"
"Anthony Edwards","MIN","SG,SF","24.6","5.8","4.4","0.7","1.6",".459",".756","2.7","3.3","79","36.0","4.0","6.3","1.35","2.4"
"DeMar DeRozan","CHI","SF,PF,SG","24.5","4.6","5.1","0.5","1.1",".504",".872","0.6","2.1","74","36.2","6.2","8.3","2.46","2.5"
"Jalen Brunson","NYK","PG,SG","24.0","3.5","6.2","0.2","0.9",".491",".829","2.0","2.1","68","35.0","4.8","6.7","2.96","2.2"
"Paul George","LAC","SF,PF,SG","23.8","6.1","5.1","0.4","1.5",".457",".871","2.8","3.1","56","34.6","4.6","5.4","1.64","2.8"
"Kawhi Leonard","LAC","SG,SF,PF OUT","23.8","6.5","3.9","0.5","1.4",".512",".871","2.0","1.7","52","33.6","4.7","6.6","2.32","1.6"
"LaMelo Ball","CHA","PG,SG OUT","23.3","6.4","8.4","0.3","1.3",".411",".836","4.0","3.6","36","35.2","2.8","4.2","2.36","3.3"
"Bradley Beal","WAS","SG,SF OUT","23.2","3.9","5.4","0.7","0.9",".506",".842","1.6","2.9","50","33.5","3.8","7.3","1.87","2.1"
"Jimmy Butler","MIA","SF,PF,SG","22.9","5.8","5.3","0.3","1.8",".539",".851","0.6","1.6","64","33.4","7.4","6.9","3.37","1.3"
"Jalen Green","HOU","SG","22.1","3.7","3.7","0.2","0.8",".417",".786","2.5","2.6","76","34.2","4.8","5.0","1.41","1.7"
"Klay Thompson","GSW","SG,SF","21.9","4.1","2.4","0.4","0.7",".436",".879","4.4","1.8","69","33.0","1.7","3.6","1.33","1.9"
"Darius Garland","CLE","PG,SG","21.6","2.7","7.8","0.1","1.2",".462",".863","2.4","2.9","69","35.5","4.0","5.1","2.70","2.1"
"Desmond Bane","MEM","PG,SG,SF","21.5","5.0","4.4","0.4","1.0",".479",".883","2.9","2.2","58","31.7","3.1","4.9","2.02","2.6"
"Terry Rozier","CHA","PG,SG OUT","21.1","4.1","5.1","0.3","1.2",".415",".809","2.6","2.1","63","35.3","2.8","5.2","2.38","1.9"
"Anfernee Simons","POR","PG,SG OUT","21.1","2.6","4.1","0.2","0.7",".447",".894","3.4","2.1","62","35.0","2.6","4.1","1.98","2.3"
"James Harden","PHI","PG,SG","21.0","6.1","10.7","0.5","1.2",".441",".867","2.8","3.4","58","36.8","5.4","3.6","3.17","1.9"
"CJ McCollum","NOR","PG,SG DTD","20.9","4.4","5.7","0.5","0.9",".437",".769","2.8","2.4","75","35.3","2.4","5.0","2.34","2.0"
"Jordan Clarkson","UTH","PG,SG OUT","20.8","4.0","4.4","0.2","0.5",".444",".816","2.5","3.0","61","32.6","3.3","5.0","1.45","2.0"
"Tyrese Haliburton","IND","PG,SG OUT","20.7","3.7","10.4","0.4","1.6",".490",".867","2.9","2.5","56","33.6","3.1","4.5","4.15","1.2"
"Dejounte Murray","ATL","PG,SG","20.5","5.3","6.1","0.3","1.5",".464",".832","1.8","2.2","74","36.4","2.1","6.5","2.80","1.4"
"Jordan Poole","GSW","PG,SG","20.4","2.7","4.5","0.3","0.8",".430",".870","2.6","3.1","82","30.0","4.4","4.1","1.46","2.6"
"Tyrese Maxey","PHI","PG,SG","20.3","2.9","3.5","0.1","0.8",".481",".845","2.7","1.3","60","33.6","3.0","4.7","2.65","2.2"
"Kelly Oubre Jr.","CHA","SG,SF,PF OUT","20.3","5.2","1.1","0.4","1.4",".431",".760","2.3","1.3","48","32.2","3.3","5.1","0.84","2.9"
"Mikal Bridges","BKN","SG,SF","20.1","4.4","3.3","0.7","1.1",".468",".895","2.0","1.5","83","35.7","3.8","5.1","2.15","1.9"
"Tyler Herro","MIA","PG,SG DTD","20.1","5.4","4.2","0.2","0.8",".439",".934","3.0","2.4","67","34.9","2.5","4.2","1.77","1.5"
"Jamal Murray","DEN","PG,SG","20.0","4.0","6.2","0.2","1.0",".454",".833","2.6","2.2","65","32.8","2.8","4.6","2.76","1.6"
"Cade Cunningham","DET","PG,SG OUT","19.9","6.2","6.0","0.6","0.8",".415",".837","1.4","3.3","12","33.3","3.0","6.3","1.85","2.8"
